Sensor,Time,Pressure
OPD_01,0.04,17.83
OPD_01,1.45,15.15
OPD_01,2.86,14.05
OPD_01,4.2,16.73
OPD_01,5.55,15.27
OPD_01,6.89,14.29
OPD_01,8.29,15.39
OPD_01,9.63,14.66
OPD_01,11.28,14.78
OPD_01,12.63,14.29
OPD_01,14.04,15.03
OPD_01,16.24,20.15
OPD_01,17.59,22.72
OPD_01,19.01,24.18
OPD_01,20.37,24.55
OPD_01,21.71,24.91
OPD_01,23.07,26.62
OPD_01,24.47,23.94
OPD_01,25.83,28.09
OPD_01,27.17,24.67
OPD_01,28.49,22.47
OPD_01,29.88,20.64
OPD_01,31.79,89.37
OPD_02,0.04,891.22
OPD_02,1.45,874.99
OPD_02,2.86,873.89
OPD_02,4.2,874.25
OPD_02,5.55,874.74
OPD_02,6.89,870.1
OPD_02,8.29,875.6
OPD_02,9.63,873.89
OPD_02,11.28,875.23
OPD_02,12.63,869.98
OPD_02,14.04,874.37
OPD_02,16.24,891.46
OPD_02,17.59,895.0
OPD_02,19.01,892.32
OPD_02,20.37,894.76
OPD_02,21.71,894.15
OPD_02,23.07,889.51
OPD_02,24.47,892.2
OPD_02,25.83,889.39
OPD_02,27.17,892.56
OPD_02,28.49,887.44
OPD_02,29.88,894.03
OPD_02,31.79,945.42
EPD_01,0.04,11.46
EPD_01,1.45,9.87
EPD_01,2.86,10.48
EPD_01,4.2,10.0
EPD_01,5.55,10.12
EPD_01,6.89,9.93
EPD_01,8.29,9.93
EPD_01,9.63,10.3
EPD_01,11.28,9.57
EPD_01,12.63,10.36
EPD_01,14.04,10.3
EPD_01,16.24,11.77
EPD_01,17.59,11.95
EPD_01,19.01,11.83
EPD_01,20.37,11.95
EPD_01,21.71,12.13
EPD_01,23.07,11.89
EPD_01,24.47,11.46
EPD_01,25.83,12.07
EPD_01,27.17,12.5
EPD_01,28.49,11.7
EPD_01,29.88,11.58
EPD_01,31.79,34.9
FPD_01,0.04,14.68
FPD_01,1.45,13.82
FPD_01,2.86,13.82
FPD_01,4.2,13.33
FPD_01,5.55,13.09
FPD_01,6.89,12.36
FPD_01,8.29,13.45
FPD_01,9.63,13.82
FPD_01,11.28,13.21
FPD_01,12.63,12.84
FPD_01,14.04,12.72
FPD_01,16.24,266.38
FPD_01,17.59,453.4
FPD_01,19.01,455.72
FPD_01,20.37,457.91
FPD_01,21.71,458.89
FPD_01,23.07,455.96
FPD_01,24.47,457.67
FPD_01,25.83,460.11
FPD_01,27.17,459.5
FPD_01,28.49,455.96
FPD_01,29.88,458.65
FPD_01,31.79,533.11
FPD_02,0.04,-31.14
FPD_02,1.45,-30.96
FPD_02,2.86,-31.14
FPD_02,4.2,-31.2
FPD_02,5.55,-30.96
FPD_02,6.89,-31.26
FPD_02,8.29,-31.02
FPD_02,9.63,-31.2
FPD_02,11.28,-31.02
FPD_02,12.63,-31.08
FPD_02,14.04,-31.26
FPD_02,16.24,-29.19
FPD_02,17.59,-28.09
FPD_02,19.01,-27.97
FPD_02,20.37,-28.15
FPD_02,21.71,-28.03
FPD_02,23.07,-28.09
FPD_02,24.47,-28.15
FPD_02,25.83,-28.03
FPD_02,27.17,-28.15
FPD_02,28.49,-28.15
FPD_02,29.88,-28.15
FPD_02,31.79,-27.79
THRUST,0.04,0.1
THRUST,1.45,0.08
THRUST,2.86,0.06
THRUST,4.2,0.08
THRUST,5.55,0.07
THRUST,6.89,0.07
THRUST,8.29,0.07
THRUST,9.63,0.06
THRUST,11.28,0.06
THRUST,12.63,0.06
THRUST,14.04,0.06
THRUST,16.24,0.07
THRUST,17.59,0.07
THRUST,19.01,0.07
THRUST,20.37,0.08
THRUST,21.71,0.08
THRUST,23.07,0.08
THRUST,24.47,0.08
THRUST,25.83,0.08
THRUST,27.17,0.1
THRUST,28.49,0.08
THRUST,29.88,0.09
THRUST,31.79,0.09
