Sensor,Time,Pressure
OPD_01,0.04,15.15
OPD_01,1.49,13.07
OPD_01,2.86,12.1
OPD_01,4.2,13.07
OPD_01,5.55,12.34
OPD_01,6.95,13.19
OPD_01,8.28,13.32
OPD_01,9.61,13.93
OPD_01,10.93,11.61
OPD_01,12.33,13.56
OPD_01,13.66,13.68
OPD_01,14.99,14.54
OPD_01,16.32,12.83
OPD_01,17.68,14.41
OPD_01,19.02,14.66
OPD_01,20.33,13.8
OPD_01,22.24,11.97
OPD_01,23.82,25.03
OPD_01,25.18,23.57
OPD_01,26.54,21.74
OPD_01,27.86,22.11
OPD_01,29.25,26.87
OPD_01,31.24,35.66
OPD_02,0.04,14.76
OPD_02,1.49,12.07
OPD_02,2.86,13.17
OPD_02,4.2,12.68
OPD_02,5.55,11.7
OPD_02,6.95,12.68
OPD_02,8.28,13.17
OPD_02,9.61,12.44
OPD_02,10.93,11.46
OPD_02,12.33,12.56
OPD_02,13.66,12.8
OPD_02,14.99,13.29
OPD_02,16.32,11.83
OPD_02,17.68,12.44
OPD_02,19.02,12.31
OPD_02,20.33,12.56
OPD_02,22.24,12.19
OPD_02,23.82,22.08
OPD_02,25.18,21.47
OPD_02,26.54,21.1
OPD_02,27.86,22.45
OPD_02,29.25,22.93
OPD_02,31.24,34.9
EPD_01,0.04,9.93
EPD_01,1.49,9.93
EPD_01,2.86,9.75
EPD_01,4.2,10.12
EPD_01,5.55,9.63
EPD_01,6.95,9.51
EPD_01,8.28,9.93
EPD_01,9.61,9.93
EPD_01,10.93,9.75
EPD_01,12.33,10.12
EPD_01,13.66,10.0
EPD_01,14.99,9.75
EPD_01,16.32,9.26
EPD_01,17.68,10.48
EPD_01,19.02,10.18
EPD_01,20.33,9.87
EPD_01,22.24,10.12
EPD_01,23.82,11.22
EPD_01,25.18,11.64
EPD_01,26.54,12.01
EPD_01,27.86,12.13
EPD_01,29.25,11.46
EPD_01,31.24,14.94
FPD_01,0.04,12.11
FPD_01,1.49,12.23
FPD_01,2.86,12.48
FPD_01,4.2,11.62
FPD_01,5.55,11.26
FPD_01,6.95,12.6
FPD_01,8.28,11.62
FPD_01,9.61,12.84
FPD_01,10.93,10.89
FPD_01,12.33,11.14
FPD_01,13.66,11.62
FPD_01,14.99,11.99
FPD_01,16.32,10.65
FPD_01,17.68,12.84
FPD_01,19.02,11.87
FPD_01,20.33,12.11
FPD_01,22.24,10.77
FPD_01,23.82,232.82
FPD_01,25.18,446.8
FPD_01,26.54,454.25
FPD_01,27.86,451.81
FPD_01,29.25,455.84
FPD_01,31.24,479.89
FPD_02,0.04,-34.13
FPD_02,1.49,-33.58
FPD_02,2.86,-33.71
FPD_02,4.2,-33.83
FPD_02,5.55,-33.52
FPD_02,6.95,-33.52
FPD_02,8.28,-33.65
FPD_02,9.61,-33.58
FPD_02,10.93,-33.58
FPD_02,12.33,-33.52
FPD_02,13.66,-33.65
FPD_02,14.99,-33.58
FPD_02,16.32,-33.58
FPD_02,17.68,-33.52
FPD_02,19.02,-33.58
FPD_02,20.33,-33.77
FPD_02,22.24,-33.46
FPD_02,23.82,-32.24
FPD_02,25.18,-30.53
FPD_02,26.54,-30.65
FPD_02,27.86,-30.72
FPD_02,29.25,-30.96
FPD_02,31.24,-31.14
THRUST,0.04,0.12
THRUST,1.49,0.12
THRUST,2.86,0.12
THRUST,4.2,0.11
THRUST,5.55,0.11
THRUST,6.95,0.11
THRUST,8.28,0.11
THRUST,9.61,0.12
THRUST,10.93,0.12
THRUST,12.33,0.12
THRUST,13.66,0.12
THRUST,14.99,0.13
THRUST,16.32,0.13
THRUST,17.68,0.13
THRUST,19.02,0.13
THRUST,20.33,0.13
THRUST,22.24,0.13
THRUST,23.82,0.13
THRUST,25.18,0.13
THRUST,26.54,0.13
THRUST,27.86,0.13
THRUST,29.25,0.13
THRUST,31.24,0.13
