Sensor,Time,Value
OPD_01,0.04,19.3
OPD_01,1.52,16.86
OPD_01,2.89,17.1
OPD_01,4.24,15.76
OPD_01,5.6,15.39
OPD_01,7.0,16.61
OPD_01,8.34,16.49
OPD_01,9.68,16.37
OPD_01,11.27,15.51
OPD_01,12.66,15.88
OPD_01,14.0,15.03
OPD_01,16.24,26.5
OPD_01,17.62,25.65
OPD_01,18.96,26.74
OPD_01,20.31,24.79
OPD_01,21.63,21.98
OPD_01,23.03,23.45
OPD_01,24.36,26.38
OPD_01,25.7,28.33
OPD_01,27.04,23.08
OPD_01,28.42,26.74
OPD_01,29.75,25.77
OPD_01,31.65,85.7
OPD_02,0.04,877.06
OPD_02,1.52,865.1
OPD_02,2.89,864.49
OPD_02,4.24,864.37
OPD_02,5.6,861.07
OPD_02,7.0,864.24
OPD_02,8.34,864.0
OPD_02,9.68,864.12
OPD_02,11.27,859.6
OPD_02,12.66,863.63
OPD_02,14.0,864.0
OPD_02,16.24,887.19
OPD_02,17.62,886.7
OPD_02,18.96,888.29
OPD_02,20.31,887.07
OPD_02,21.63,881.82
OPD_02,23.03,884.38
OPD_02,24.36,883.77
OPD_02,25.7,884.63
OPD_02,27.04,880.72
OPD_02,28.42,884.38
OPD_02,29.75,882.8
OPD_02,31.65,944.69
EPD_01,0.04,9.32
EPD_01,1.52,9.69
EPD_01,2.89,10.12
EPD_01,4.24,10.36
EPD_01,5.6,10.48
EPD_01,7.0,9.93
EPD_01,8.34,10.24
EPD_01,9.68,10.06
EPD_01,11.27,9.51
EPD_01,12.66,10.3
EPD_01,14.0,10.48
EPD_01,16.24,11.89
EPD_01,17.62,11.95
EPD_01,18.96,11.64
EPD_01,20.31,12.01
EPD_01,21.63,11.77
EPD_01,23.03,12.38
EPD_01,24.36,11.95
EPD_01,25.7,12.01
EPD_01,27.04,11.58
EPD_01,28.42,12.01
EPD_01,29.75,12.25
EPD_01,31.65,34.41
FPD_01,0.04,19.19
FPD_01,1.52,15.9
FPD_01,2.89,14.8
FPD_01,4.24,15.41
FPD_01,5.6,14.68
FPD_01,7.0,15.9
FPD_01,8.34,15.53
FPD_01,9.68,15.65
FPD_01,11.27,14.43
FPD_01,12.66,15.65
FPD_01,14.0,15.16
FPD_01,16.24,299.95
FPD_01,17.62,471.22
FPD_01,18.96,476.35
FPD_01,20.31,472.56
FPD_01,21.63,472.68
FPD_01,23.03,472.68
FPD_01,24.36,472.81
FPD_01,25.7,472.81
FPD_01,27.04,470.0
FPD_01,28.42,473.17
FPD_01,29.75,473.78
FPD_01,31.65,552.64
FPD_02,0.04,-31.45
FPD_02,1.52,-31.39
FPD_02,2.89,-31.39
FPD_02,4.24,-31.26
FPD_02,5.6,-31.39
FPD_02,7.0,-31.45
FPD_02,8.34,-31.45
FPD_02,9.68,-31.08
FPD_02,11.27,-31.45
FPD_02,12.66,-31.45
FPD_02,14.0,-31.39
FPD_02,16.24,-29.19
FPD_02,17.62,-28.21
FPD_02,18.96,-27.91
FPD_02,20.31,-28.27
FPD_02,21.63,-28.21
FPD_02,23.03,-27.97
FPD_02,24.36,-28.09
FPD_02,25.7,-28.15
FPD_02,27.04,-28.21
FPD_02,28.42,-28.21
FPD_02,29.75,-28.27
FPD_02,31.65,-25.95
THRUST,0.04,0.09
THRUST,1.52,0.09
THRUST,2.89,0.08
THRUST,4.24,0.09
THRUST,5.6,0.09
THRUST,7.0,0.09
THRUST,8.34,0.1
THRUST,9.68,0.09
THRUST,11.27,0.11
THRUST,12.66,0.11
THRUST,14.0,0.11
THRUST,16.24,0.1
THRUST,17.62,0.09
THRUST,18.96,0.08
THRUST,20.31,0.08
THRUST,21.63,0.08
THRUST,23.03,0.08
THRUST,24.36,0.08
THRUST,25.7,0.08
THRUST,27.04,0.09
THRUST,28.42,0.09
THRUST,29.75,0.09
THRUST,31.65,0.08
