Sensor,Time,Value
OPD_01,0.04,17.1
OPD_01,1.45,13.8
OPD_01,2.81,15.76
OPD_01,4.26,14.9
OPD_01,5.62,13.19
OPD_01,7.01,14.29
OPD_01,8.36,13.32
OPD_01,9.7,14.41
OPD_01,11.25,58.6
OPD_02,0.04,895.25
OPD_02,1.45,891.71
OPD_02,2.81,895.49
OPD_02,4.26,891.22
OPD_02,5.62,887.07
OPD_02,7.01,891.83
OPD_02,8.36,891.71
OPD_02,9.7,891.34
OPD_02,11.25,922.96
EPD_01,0.04,10.42
EPD_01,1.45,9.81
EPD_01,2.81,9.2
EPD_01,4.26,9.57
EPD_01,5.62,9.75
EPD_01,7.01,10.06
EPD_01,8.36,10.24
EPD_01,9.7,9.45
EPD_01,11.25,27.21
FPD_01,0.04,15.04
FPD_01,1.45,12.23
FPD_01,2.81,12.23
FPD_01,4.26,12.72
FPD_01,5.62,12.6
FPD_01,7.01,12.72
FPD_01,8.36,13.58
FPD_01,9.7,12.23
FPD_01,11.25,56.67
FPD_02,0.04,-31.2
FPD_02,1.45,-31.14
FPD_02,2.81,-30.96
FPD_02,4.26,-31.14
FPD_02,5.62,-31.2
FPD_02,7.01,-31.14
FPD_02,8.36,-30.96
FPD_02,9.7,-31.26
FPD_02,11.25,-31.51
THRUST,0.04,0.07
THRUST,1.45,0.07
THRUST,2.81,0.08
THRUST,4.26,0.07
THRUST,5.62,0.08
THRUST,7.01,0.08
THRUST,8.36,0.08
THRUST,9.7,0.08
THRUST,11.25,0.07
